!def(lint),
def(_Windows),
!def(NO_LOCALE_H),
!def(HAVE_ERF),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(RELEASE_VERSION),
True,
(def(VMS)&!def(BSD)),
!def(LITE),
def(BITMAPDEBUG),
def(TEST_STRFTIME),
def(BADRAND),
def(MSDOS),
def(PIPE_IPC),
!def(HAVE_ERFC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
def(PIPES),
!def(BADRAND),
!def(MSDOS),
(!def(MSDOS)&!def(VMS)),
def(VMS),
def(NO_LOCALE_H),
!def(BITMAPDEBUG),
def(USE_MOUSE),
def(PM3D),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(__ZTC__),
