!def(LITE),
def(MSDOS),
def(TEST_STRFTIME),
!def(lint),
!def(RELEASE_VERSION),
def(PIPES),
def(PROTOTYPES),
def(_Windows),
!def(PROTOTYPES),
def(BITMAPDEBUG),
!def(GP_ISVAR),
def(PIPE_IPC),
True,
def(TEST_TIME),
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
(def(VMS)&!def(BSD)),
def(RELEASE_VERSION),
def(__ZTC__),
def(VMS),
!def(USE_SYSTEM_TIME),
!def(MSDOS),
(!def(MSDOS)&!def(VMS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_MOUSE),
!def(BITMAPDEBUG),
def(PM3D),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
