!def(HAVE_ERFC),
!def(MSDOS),
def(NO_LOCALE_H),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(HAVE_ERF),
def(__ZTC__),
(def(X11)&def(USE_MOUSE)),
def(BITMAPDEBUG),
!def(BADRAND),
True,
!def(NO_LOCALE_H),
def(PM3D),
def(_Windows),
!def(lint),
def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(VMS),
!def(LITE),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(BSD)),
def(PIPE_IPC),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
!def(USE_SYSTEM_TIME),
def(BADRAND),
def(PIPES),
!def(RELEASE_VERSION),
def(TEST_TIME),
