!def(RELEASE_VERSION),
!def(NO_LOCALE_H),
def(MSDOS),
def(TEST_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
!def(HAVE_ERF),
def(BADRAND),
def(VMS),
def(_Windows),
def(USE_SYSTEM_TIME),
def(__ZTC__),
(def(VMS)&!def(MSDOS)),
def(PM3D),
def(RELEASE_VERSION),
!def(MSDOS),
def(TEST_STRFTIME),
(def(VMS)&!def(BSD)),
!def(USE_SYSTEM_TIME),
!def(BADRAND),
True,
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(lint),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERFC),
def(BITMAPDEBUG),
def(PIPES),
!def(LITE),
def(NO_LOCALE_H),
def(TEST_TERMDOC),
