def(__PUREC__),
!def(GNUPLOT_HISTORY),
(!def(PIPE_IPC)&def(__ZTC__)),
(!def(PIPE_IPC)&def(VMS)),
def(EXTENDED_COLOR_SPECS),
def(GNUPLOT_HISTORY),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(AMIGA_AC_5),
(def(VMS)&!def(MSDOS)),
True,
def(HAVE_LOCALE_H),
def(GP_STRING_VARS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
def(EAM_DATASTRINGS),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(EAM_OBJECTS),
(!def(MSDOS)&!def(VMS)),
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
!def(GP_STRING_VARS),
def(BINARY_DATA_FILE),
def(TEST_STRFTIME),
!def(AMIGA_SC_6_1),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(WITH_IMAGE),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
(def(VMS)&!def(BSD)),
def(MSDOS),
!def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
!def(LITE),
def(TEST_TIME),
!def(EAM_HISTOGRAMS),
!def(__PUREC__),
!def(WITH_IMAGE),
def(BACKWARDS_COMPATIBLE),
!def(GPLT_X11_MODE),
def(EAM_HISTOGRAMS),
!def(HAVE_LOCALE_H),
!def(BITMAPDEBUG),
def(PM3D),
def(PIPE_IPC),
def(USE_MOUSE),
(!def(AMIGA_SC_6_1)&!def(LITE)),
def(RELEASE_VERSION),
!def(EXTENDED_COLOR_SPECS),
!def(MSDOS),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
!def(lint),
!def(RELEASE_VERSION),
!def(BINARY_DATA_FILE),
def(OLDUNSETTICS),
def(PIPES),
def(_Windows),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(GP_MACROS),
!def(OLDUNSETTICS),
