!def(HAVE_ERFC),
def(PROTOTYPES),
def(RELEASE_VERSION),
def(_Windows),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
!def(BITMAPDEBUG),
def(__ZTC__),
def(PIPES),
!def(MSDOS),
!def(HAVE_ERF),
def(BADRAND),
(def(VMS)&!def(BSD)),
def(USE_MOUSE),
!def(USE_SYSTEM_TIME),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
def(BITMAPDEBUG),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(lint),
!def(BADRAND),
def(TEST_TIME),
!def(LITE),
def(TEST_TERMDOC),
def(VMS),
def(PM3D),
def(TEST_STRFTIME),
def(MSDOS),
!def(PROTOTYPES),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
