def(__ZTC__),
def(TEST_TERMDOC),
def(USE_MOUSE),
def(TEST_STRFTIME),
def(RELEASE_VERSION),
!def(BITMAPDEBUG),
True,
!def(PROTOTYPES),
!def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
!def(lint),
!def(LITE),
!def(HAVE_ERF),
def(USE_SYSTEM_TIME),
!def(BADRAND),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BADRAND),
!def(MSDOS),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
def(PROTOTYPES),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
def(BITMAPDEBUG),
def(PIPES),
def(PM3D),
(def(VMS)&!def(BSD)),
def(VMS),
def(PIPE_IPC),
def(TEST_TIME),
