!def(USE_SYSTEM_TIME),
!def(BADRAND),
def(PM3D),
!def(BITMAPDEBUG),
def(PIPES),
!def(NO_LOCALE_H),
def(NO_LOCALE_H),
def(RELEASE_VERSION),
def(BITMAPDEBUG),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(HAVE_ERF),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(BSD)),
def(_Windows),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
(!def(MSDOS)&!def(VMS)),
def(MSDOS),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(__ZTC__),
def(BADRAND),
!def(RELEASE_VERSION),
def(PIPE_IPC),
def(TEST_STRFTIME),
!def(MSDOS),
!def(lint),
def(TEST_TERMDOC),
!def(HAVE_ERFC),
def(VMS),
(def(X11)&def(USE_MOUSE)),
