!def(BADRAND),
!def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
def(BADRAND),
def(MSDOS),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(lint),
def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
!def(BITMAPDEBUG),
def(BITMAPDEBUG),
def(NO_LOCALE_H),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)),
!def(MSDOS),
True,
def(TEST_TERMDOC),
def(TEST_STRFTIME),
def(PIPES),
def(TEST_TIME),
def(_Windows),
!def(LITE),
(def(VMS)&!def(BSD)),
def(__ZTC__),
