!def(BITMAPDEBUG),
def(BITMAPDEBUG),
!def(MSDOS),
!def(USE_SYSTEM_TIME),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
!def(LITE),
!def(HAVE_ERF),
def(PIPES),
def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(BADRAND),
def(MSDOS),
def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
!def(lint),
True,
(def(VMS)&!def(BSD)),
def(TEST_STRFTIME),
def(VMS),
def(TEST_TERMDOC),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)),
!def(NO_LOCALE_H),
def(_Windows),
!def(BADRAND),
