!def(MSDOS),
def(USE_MOUSE),
def(PIPE_IPC),
!def(LITE),
def(__ZTC__),
(def(VMS)&!def(BSD)),
def(NO_LOCALE_H),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)),
!def(lint),
!def(RELEASE_VERSION),
def(_Windows),
(!def(MSDOS)&!def(VMS)),
def(TEST_TERMDOC),
def(RELEASE_VERSION),
def(TEST_STRFTIME),
!def(BITMAPDEBUG),
def(VMS),
True,
def(MSDOS),
def(PM3D),
!def(HAVE_ERFC),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
!def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
!def(BADRAND),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PIPES),
def(BADRAND),
!def(HAVE_ERF),
