def(MSDOS),
True,
(def(VMS)&!def(BSD)),
!def(__PUREC__),
!def(BITMAPDEBUG),
!def(lint),
def(AMIGA_AC_5),
(!def(APOLLO)&def(GP_STRING_VARS)),
def(PIPE_IPC),
!def(EAM_HISTOGRAMS),
def(BINARY_DATA_FILE),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
(!def(PIPE_IPC)&def(__ZTC__)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
!def(BINARY_DATA_FILE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(PIPE_IPC)&def(VMS)),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(USE_SYSTEM_TIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)),
def(EAM_HISTOGRAMS),
def(GP_STRING_VARS),
def(PIPES),
def(GP_MACROS),
def(USE_MOUSE),
!def(MSDOS),
def(__PUREC__),
!def(AMIGA_SC_6_1),
def(_Windows),
def(BITMAPDEBUG),
!def(RELEASE_VERSION),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(EAM_DATASTRINGS),
def(TEST_TIME),
def(PM3D),
def(RELEASE_VERSION),
!def(USE_SYSTEM_TIME),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(TEST_STRFTIME),
!def(LITE),
