!def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
!def(NO_LOCALE_H),
def(RELEASE_VERSION),
!def(HAVE_ERFC),
!def(RELEASE_VERSION),
def(PM3D),
def(PIPE_IPC),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
def(PIPES),
(def(VMS)&!def(BSD)),
def(NO_LOCALE_H),
def(BADRAND),
!def(lint),
def(USE_MOUSE),
def(MSDOS),
!def(LITE),
def(BITMAPDEBUG),
def(__ZTC__),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(MSDOS),
def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
def(TEST_TIME),
!def(BADRAND),
!def(BITMAPDEBUG),
def(VMS),
def(TEST_TERMDOC),
