!def(lint),
!def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
!def(LITE),
def(PIPES),
def(__ZTC__),
(def(VMS)&!def(BSD)),
def(_Windows),
def(VMS),
def(BITMAPDEBUG),
!def(BADRAND),
True,
!def(BITMAPDEBUG),
!def(MSDOS),
def(PM3D),
(!def(MSDOS)&!def(VMS)),
def(BADRAND),
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
!def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(HAVE_ERFC),
!def(HAVE_ERF),
def(TEST_TIME),
def(MSDOS),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
def(RELEASE_VERSION),
