!def(EAM_HISTOGRAMS),
!def(AMIGA_SC_6_1),
def(USE_SYSTEM_TIME),
def(BINARY_DATA_FILE),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BITMAPDEBUG),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(TEST_TIME),
def(PROTOTYPES),
def(BITMAPDEBUG),
(!def(PIPE_IPC)&def(__ZTC__)),
def(MSDOS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(PIPES),
def(PM3D),
(def(VMS)&!def(BSD)),
True,
!def(PROTOTYPES),
def(EAM_HISTOGRAMS),
!def(RELEASE_VERSION),
def(EAM_DATASTRINGS),
!def(GP_ISVAR),
def(TEST_STRFTIME),
!def(USE_SYSTEM_TIME),
def(GP_ISVAR),
def(PIPE_IPC),
!def(BINARY_DATA_FILE),
!def(MSDOS),
def(_Windows),
def(USE_MOUSE),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(def(VMS)&!def(MSDOS)),
!def(lint),
def(RELEASE_VERSION),
(!def(PIPE_IPC)&def(VMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
(!def(MSDOS)&!def(VMS)),
