!def(BADRAND),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
(!def(MSDOS)&!def(VMS)),
!def(lint),
def(TEST_TIME),
def(PIPES),
def(BITMAPDEBUG),
def(NO_LOCALE_H),
!def(NO_LOCALE_H),
def(VMS),
def(USE_SYSTEM_TIME),
!def(MSDOS),
def(TEST_STRFTIME),
!def(LITE),
!def(HAVE_ERFC),
!def(HAVE_ERF),
(def(VMS)&!def(BSD)),
def(__ZTC__),
!def(BITMAPDEBUG),
def(BADRAND),
True,
(def(VMS)&!def(MSDOS)),
