!def(RELEASE_VERSION),
def(BITMAPDEBUG),
def(TEST_TERMDOC),
def(VMS),
(def(VMS)&!def(MSDOS)),
True,
!def(LITE),
!def(HAVE_ERF),
def(_Windows),
def(BADRAND),
def(PIPES),
(!def(MSDOS)&!def(VMS)),
!def(PROTOTYPES),
!def(MSDOS),
def(PROTOTYPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(lint),
def(PIPE_IPC),
def(TEST_TIME),
def(PM3D),
def(TEST_STRFTIME),
def(RELEASE_VERSION),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
def(USE_MOUSE),
def(MSDOS),
!def(BADRAND),
!def(HAVE_ERFC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_SYSTEM_TIME),
def(__ZTC__),
(def(VMS)&!def(BSD)),
