def(SYSTEM_TIME),
!def(NO_LOCALE_H),
!def(MSDOS),
True,
(!def(_Windows)&def(__TURBOC__)),
def(TEST_TIME),
def(NO_LOCALE_H),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
def(LITE),
def(UNIXPLOT),
!def(SYSTEM_TIME),
!def(lint),
def(__ZTC__),
!def(OSK),
def(DJGPP),
def(_Windows),
def(VMS),
!def(LITE),
def(HAVE_SYS_UTSNAME_H),
