!def(HAVE_ERFC),
def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(HAVE_ERF),
!def(NO_LOCALE_H),
(def(VMS)&!def(BSD)),
def(MSDOS),
def(PIPES),
True,
!def(USE_SYSTEM_TIME),
!def(LITE),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
def(TEST_STRFTIME),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TIME),
def(_Windows),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
def(BADRAND),
!def(BADRAND),
!def(lint),
!def(MSDOS),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)),
def(__ZTC__),
