!def(PROTOTYPES),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
def(PM3D),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_SYSTEM_TIME),
def(PROTOTYPES),
!def(GP_ISVAR),
!def(lint),
def(_Windows),
def(PIPES),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
!def(BITMAPDEBUG),
def(VMS),
(def(VMS)&!def(BSD)),
def(MSDOS),
def(BITMAPDEBUG),
!def(MSDOS),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
True,
def(TEST_TIME),
