!def(RELEASE_VERSION),
!def(AMIGA_SC_6_1),
(def(VMS)&!def(MSDOS)),
!def(BITMAPDEBUG),
def(PIPES),
!def(lint),
!def(PROTOTYPES),
def(RELEASE_VERSION),
True,
def(TEST_TERMDOC),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PM3D),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(USE_SYSTEM_TIME),
def(USE_SYSTEM_TIME),
def(_Windows),
(!def(MSDOS)&!def(VMS)),
def(TEST_STRFTIME),
!def(GP_ISVAR),
(!def(PIPE_IPC)&def(VMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(BITMAPDEBUG),
def(PROTOTYPES),
def(MSDOS),
def(TEST_TIME),
!def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_MOUSE),
(!def(PIPE_IPC)&def(__ZTC__)),
(def(VMS)&!def(BSD)),
