def(PROTOTYPES),
(def(VMS)&!def(MSDOS)),
def(USE_MOUSE),
!def(HAVE_ERFC),
def(USE_SYSTEM_TIME),
!def(MSDOS),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(MSDOS),
def(PM3D),
!def(HAVE_ERF),
def(VMS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BADRAND),
def(RELEASE_VERSION),
def(PIPES),
def(TEST_TIME),
!def(BITMAPDEBUG),
!def(LITE),
def(__ZTC__),
!def(RELEASE_VERSION),
def(BADRAND),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
!def(PROTOTYPES),
!def(USE_SYSTEM_TIME),
def(PIPE_IPC),
(def(VMS)&!def(BSD)),
def(_Windows),
def(TEST_STRFTIME),
!def(lint),
def(BITMAPDEBUG),
