!def(lint),
!def(MSDOS),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
def(_Windows),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PM3D),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
True,
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERFC),
def(__ZTC__),
!def(USE_SYSTEM_TIME),
!def(BADRAND),
def(PIPES),
def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
def(PIPE_IPC),
def(BADRAND),
!def(RELEASE_VERSION),
def(RELEASE_VERSION),
def(MSDOS),
def(PROTOTYPES),
def(VMS),
def(BITMAPDEBUG),
def(TEST_STRFTIME),
!def(PROTOTYPES),
def(USE_MOUSE),
!def(LITE),
