def(__ZTC__),
def(VMS),
def(PM3D),
def(PIPES),
def(_Windows),
!def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)),
def(NO_LOCALE_H),
!def(LITE),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
def(BITMAPDEBUG),
def(TEST_STRFTIME),
(def(X11)&def(USE_MOUSE)),
!def(BITMAPDEBUG),
!def(lint),
def(TEST_TIME),
True,
!def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_SYSTEM_TIME),
!def(HAVE_ERFC),
!def(NO_LOCALE_H),
def(BADRAND),
def(MSDOS),
!def(RELEASE_VERSION),
!def(HAVE_ERF),
def(PIPE_IPC),
def(TEST_TERMDOC),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
