!def(RELEASE_VERSION),
def(_Windows),
def(TEST_STRFTIME),
!def(BITMAPDEBUG),
def(USE_MOUSE),
def(PM3D),
!def(HAVE_ERFC),
!def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
True,
(def(VMS)&!def(BSD)),
def(BITMAPDEBUG),
def(RELEASE_VERSION),
def(NO_LOCALE_H),
def(__ZTC__),
def(PIPE_IPC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TIME),
!def(lint),
!def(HAVE_ERF),
(def(VMS)&!def(MSDOS)),
def(PIPES),
def(VMS),
!def(LITE),
!def(MSDOS),
def(TEST_TERMDOC),
def(MSDOS),
def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(USE_SYSTEM_TIME),
!def(BADRAND),
(!def(MSDOS)&!def(VMS)),
