def(BINARY_DATA_FILE),
def(TEST_STRFTIME),
def(EAM_HISTOGRAMS),
def(MSDOS),
def(RELEASE_VERSION),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(__PUREC__),
def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
def(USE_MOUSE),
!def(MSDOS),
def(GNUPLOT_HISTORY),
def(GP_MACROS),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(lint),
!def(__PUREC__),
(!def(PIPE_IPC)&def(__ZTC__)),
!def(AMIGA_SC_6_1),
True,
!def(USE_SYSTEM_TIME),
def(PIPES),
def(GP_STRING_VARS),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
(!def(APOLLO)&def(GP_STRING_VARS)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(AMIGA_AC_5),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(_Windows),
def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
!def(RELEASE_VERSION),
def(EAM_DATASTRINGS),
(def(VMS)&!def(MSDOS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(EAM_HISTOGRAMS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BINARY_DATA_FILE),
!def(LITE),
def(TEST_TERMDOC),
def(PM3D),
(!def(PIPE_IPC)&def(VMS)),
