!def(HAVE_ERF),
!def(BADRAND),
def(__ZTC__),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
def(NO_LOCALE_H),
!def(BITMAPDEBUG),
def(BADRAND),
!def(lint),
def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
def(_Windows),
!def(MSDOS),
def(VMS),
(def(VMS)&!def(MSDOS)),
def(TEST_TERMDOC),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERFC),
def(TEST_STRFTIME),
def(MSDOS),
def(PIPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
