!def(EXTENDED_COLOR_SPECS),
def(USE_MOUSE),
def(HAVE_LOCALE_H),
!def(GNUPLOT_HISTORY),
def(PM3D),
def(BINARY_DATA_FILE),
!def(__PUREC__),
!def(GPLT_X11_MODE),
def(_Windows),
(def(VMS)&!def(MSDOS)),
(!def(PIPE_IPC)&def(__ZTC__)),
!def(MSDOS),
def(PIPES),
!def(WITH_IMAGE),
(def(VMS)&!def(BSD)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
def(TEST_TIME),
def(BITMAPDEBUG),
def(__PUREC__),
def(RELEASE_VERSION),
def(EXTENDED_COLOR_SPECS),
def(PIPE_IPC),
def(EAM_HISTOGRAMS),
!def(HAVE_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(OLDUNSETTICS),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
!def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(GNUPLOT_HISTORY),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(WITH_IMAGE),
def(BACKWARDS_COMPATIBLE),
def(TEST_TERMDOC),
def(EAM_DATASTRINGS),
def(GP_STRING_VARS),
(!def(AMIGA_SC_6_1)&!def(LITE)),
def(AMIGA_AC_5),
!def(AMIGA_SC_6_1),
True,
def(MSDOS),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
(!def(PIPE_IPC)&def(VMS)),
!def(GP_STRING_VARS),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(BINARY_DATA_FILE),
!def(EAM_HISTOGRAMS),
!def(LITE),
!def(lint),
def(TEST_STRFTIME),
def(OLDUNSETTICS),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
def(GP_MACROS),
def(EAM_OBJECTS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
