!def(EAM_HISTOGRAMS),
def(PIPES),
!def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(lint),
def(USE_SYSTEM_TIME),
!def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
(!def(PIPE_IPC)&def(VMS)),
def(EAM_HISTOGRAMS),
!def(GP_ISVAR),
def(USE_MOUSE),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(BSD)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(PM3D),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_STRFTIME),
!def(MSDOS),
(def(VMS)&!def(MSDOS)),
def(PROTOTYPES),
def(RELEASE_VERSION),
def(BINARY_DATA_FILE),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(GP_ISVAR),
!def(PROTOTYPES),
def(TEST_TIME),
def(TEST_TERMDOC),
def(MSDOS),
def(BITMAPDEBUG),
def(EAM_DATASTRINGS),
!def(BINARY_DATA_FILE),
(!def(PIPE_IPC)&def(__ZTC__)),
True,
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(AMIGA_SC_6_1),
def(PIPE_IPC),
def(_Windows),
