!def(HAVE_ERFC),
def(VMS),
def(USE_SYSTEM_TIME),
!def(MSDOS),
!def(HAVE_ERF),
!def(PROTOTYPES),
def(MSDOS),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)),
def(__ZTC__),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
def(USE_MOUSE),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TIME),
!def(BADRAND),
(!def(MSDOS)&!def(VMS)),
def(PIPES),
def(PROTOTYPES),
!def(BITMAPDEBUG),
!def(RELEASE_VERSION),
!def(lint),
def(PM3D),
def(PIPE_IPC),
def(BADRAND),
!def(LITE),
def(TEST_STRFTIME),
def(BITMAPDEBUG),
True,
def(RELEASE_VERSION),
