!def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
def(PIPES),
def(USE_MOUSE),
def(RELEASE_VERSION),
!def(BITMAPDEBUG),
!def(MSDOS),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
def(TEST_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PM3D),
def(PIPE_IPC),
!def(LITE),
!def(lint),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
def(__ZTC__),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(PROTOTYPES),
def(_Windows),
def(PROTOTYPES),
True,
def(BITMAPDEBUG),
!def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
def(VMS),
!def(GP_ISVAR),
