!def(AMIGA_SC_6_1),
def(PM3D),
def(EAM_DATASTRINGS),
def(TEST_TERMDOC),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
True,
!def(GP_ISVAR),
def(TEST_TIME),
(!def(MSDOS)&!def(VMS)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(PROTOTYPES),
(!def(PIPE_IPC)&def(VMS)),
(def(VMS)&!def(BSD)),
def(PIPE_IPC),
!def(BITMAPDEBUG),
def(RELEASE_VERSION),
!def(MSDOS),
!def(lint),
def(BITMAPDEBUG),
def(EAM_HISTOGRAMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(RELEASE_VERSION),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(USE_SYSTEM_TIME),
!def(BINARY_DATA_FILE),
(!def(PIPE_IPC)&def(__ZTC__)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(TEST_STRFTIME),
def(USE_MOUSE),
!def(USE_SYSTEM_TIME),
def(GP_ISVAR),
def(_Windows),
!def(PROTOTYPES),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(EAM_HISTOGRAMS),
def(PIPES),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
def(BINARY_DATA_FILE),
