!def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(USE_SYSTEM_TIME),
def(PIPE_IPC),
!def(NO_LOCALE_H),
!def(HAVE_ERFC),
!def(HAVE_ERF),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
def(VMS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(BITMAPDEBUG),
def(TEST_TERMDOC),
def(BADRAND),
!def(BADRAND),
def(_Windows),
def(__ZTC__),
def(TEST_STRFTIME),
def(PM3D),
(def(VMS)&!def(MSDOS)),
!def(lint),
!def(MSDOS),
True,
!def(LITE),
def(RELEASE_VERSION),
!def(BITMAPDEBUG),
def(MSDOS),
(!def(MSDOS)&!def(VMS)),
def(PIPES),
