!def(BITMAPDEBUG),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(LITE),
def(__ZTC__),
!def(lint),
(!def(MSDOS)&!def(VMS)),
def(MSDOS),
def(NO_LOCALE_H),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)),
!def(LITE),
!def(NO_LOCALE_H),
True,
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
def(_Windows),
!def(USE_SYSTEM_TIME),
def(BADRAND),
!def(BADRAND),
def(TEST_STRFTIME),
def(TEST_TIME),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERF),
def(TEST_TERMDOC),
def(BITMAPDEBUG),
!def(MSDOS),
