!def(AMIGA_SC_6_1),
def(RELEASE_VERSION),
(!def(APOLLO)&def(GP_STRING_VARS)),
def(__PUREC__),
!def(__PUREC__),
def(EAM_DATASTRINGS),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(EAM_HISTOGRAMS),
def(AMIGA_AC_5),
!def(lint),
def(USE_SYSTEM_TIME),
(!def(PIPE_IPC)&def(__ZTC__)),
True,
(def(VMS)&!def(BSD)),
!def(MSDOS),
def(PIPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(USE_SYSTEM_TIME),
def(PM3D),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
def(USE_MOUSE),
(!def(PIPE_IPC)&def(VMS)),
def(BINARY_DATA_FILE),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PIPE_IPC),
def(BITMAPDEBUG),
def(TEST_TERMDOC),
!def(RELEASE_VERSION),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(BINARY_DATA_FILE),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(_Windows),
def(GP_STRING_VARS),
!def(BITMAPDEBUG),
def(TEST_TIME),
def(GP_MACROS),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
!def(EAM_HISTOGRAMS),
def(TEST_STRFTIME),
