!def(MSDOS),
def(PM3D),
!def(LITE),
!def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
True,
def(PIPES),
def(VMS),
def(BITMAPDEBUG),
def(_Windows),
!def(PROTOTYPES),
(def(VMS)&!def(MSDOS)),
!def(HAVE_ERF),
def(USE_MOUSE),
(!def(MSDOS)&!def(VMS)),
def(TEST_TERMDOC),
def(__ZTC__),
def(USE_SYSTEM_TIME),
!def(HAVE_ERFC),
def(MSDOS),
def(BADRAND),
!def(BITMAPDEBUG),
def(PROTOTYPES),
!def(BADRAND),
def(TEST_STRFTIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
!def(lint),
def(TEST_TIME),
def(PIPE_IPC),
