!def(PROTOTYPES),
def(PM3D),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
!def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)),
def(__ZTC__),
def(BADRAND),
!def(USE_SYSTEM_TIME),
def(TEST_TIME),
!def(lint),
def(VMS),
def(PIPES),
!def(HAVE_ERF),
!def(BITMAPDEBUG),
!def(BADRAND),
def(RELEASE_VERSION),
def(PIPE_IPC),
!def(HAVE_ERFC),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
def(MSDOS),
def(USE_MOUSE),
!def(MSDOS),
!def(LITE),
(def(VMS)&!def(BSD)),
True,
def(PROTOTYPES),
