def(__ZTC__),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TIME),
!def(BADRAND),
!def(LITE),
def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
!def(HAVE_ERF),
def(_Windows),
(!def(MSDOS)&!def(VMS)),
def(TEST_STRFTIME),
def(NO_LOCALE_H),
!def(HAVE_ERFC),
!def(MSDOS),
True,
!def(lint),
def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(MSDOS)),
def(TEST_TERMDOC),
def(LITE),
def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(BSD)),
!def(NO_LOCALE_H),
def(PIPES),
def(BADRAND),
