(!def(APOLLO)&def(GP_STRING_VARS)),
def(PM3D),
def(EAM_DATASTRINGS),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
True,
!def(BITMAPDEBUG),
def(AMIGA_AC_5),
def(TEST_STRFTIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(BSD)),
def(__PUREC__),
!def(AMIGA_SC_6_1),
(!def(PIPE_IPC)&def(__ZTC__)),
def(TEST_TIME),
def(RELEASE_VERSION),
!def(LITE),
def(GP_STRING_VARS),
def(TEST_TERMDOC),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(RELEASE_VERSION),
def(PIPES),
!def(EAM_HISTOGRAMS),
(!def(MSDOS)&!def(VMS)),
!def(lint),
def(_Windows),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(PIPE_IPC)&def(VMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(MSDOS),
!def(__PUREC__),
def(GP_MACROS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(USE_MOUSE),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(PIPE_IPC),
def(BINARY_DATA_FILE),
!def(BINARY_DATA_FILE),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
def(EAM_HISTOGRAMS),
!def(USE_SYSTEM_TIME),
