!def(RELEASE_VERSION),
def(USE_MOUSE),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
def(VMS),
def(PROTOTYPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
!def(GP_ISVAR),
(def(VMS)&!def(BSD)),
!def(USE_SYSTEM_TIME),
def(PM3D),
def(PIPES),
def(BITMAPDEBUG),
!def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BITMAPDEBUG),
def(_Windows),
True,
def(PIPE_IPC),
(!def(MSDOS)&!def(VMS)),
!def(PROTOTYPES),
def(MSDOS),
def(TEST_TIME),
def(TEST_TERMDOC),
!def(lint),
def(__ZTC__),
