def(EAM_DATASTRINGS),
!def(MSDOS),
def(MSDOS),
def(_Windows),
def(PIPE_IPC),
!def(EAM_HISTOGRAMS),
(!def(APOLLO)&def(GP_STRING_VARS)),
(!def(PIPE_IPC)&def(__ZTC__)),
(!def(MSDOS)&!def(VMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(BINARY_DATA_FILE),
!def(lint),
(def(VMS)&!def(BSD)),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(BINARY_DATA_FILE),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(PM3D),
def(TEST_TERMDOC),
def(GP_STRING_VARS),
def(EAM_HISTOGRAMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PIPES),
!def(USE_SYSTEM_TIME),
!def(LITE),
!def(BITMAPDEBUG),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(AMIGA_AC_5),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(TEST_TIME),
def(__PUREC__),
def(GP_MACROS),
def(RELEASE_VERSION),
def(USE_MOUSE),
def(BITMAPDEBUG),
(!def(PIPE_IPC)&def(VMS)),
(def(VMS)&!def(MSDOS)),
!def(AMIGA_SC_6_1),
!def(__PUREC__),
def(TEST_STRFTIME),
!def(RELEASE_VERSION),
True,
def(USE_SYSTEM_TIME),
