!def(MSDOS),
def(USE_SYSTEM_TIME),
def(PM3D),
def(USE_MOUSE),
!def(LITE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERF),
def(TEST_STRFTIME),
!def(HAVE_ERFC),
def(TEST_TERMDOC),
!def(USE_SYSTEM_TIME),
def(BADRAND),
!def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
def(_Windows),
!def(RELEASE_VERSION),
def(NO_LOCALE_H),
def(PIPE_IPC),
def(BITMAPDEBUG),
def(RELEASE_VERSION),
!def(lint),
def(TEST_TIME),
def(MSDOS),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
True,
def(VMS),
!def(BADRAND),
def(PIPES),
def(__ZTC__),
