!def(AMIGA_SC_6_1),
!def(EXTENDED_COLOR_SPECS),
def(EAM_OBJECTS),
(def(VMS)&!def(MSDOS)),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
!def(USE_SYSTEM_TIME),
def(HAVE_LOCALE_H),
def(__PUREC__),
def(EAM_DATASTRINGS),
def(BACKWARDS_COMPATIBLE),
!def(BITMAPDEBUG),
def(PIPES),
def(WITH_IMAGE),
(!def(MSDOS)&!def(VMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(GPLT_X11_MODE),
!def(BINARY_DATA_FILE),
def(OLDUNSETTICS),
def(GP_MACROS),
(!def(PIPE_IPC)&def(__ZTC__)),
def(TEST_TERMDOC),
!def(GNUPLOT_HISTORY),
def(PIPE_IPC),
!def(lint),
!def(GP_STRING_VARS),
!def(__PUREC__),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
def(MSDOS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(EAM_HISTOGRAMS),
def(GNUPLOT_HISTORY),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(PIPE_IPC)&def(VMS)),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
def(BINARY_DATA_FILE),
def(EXTENDED_COLOR_SPECS),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(AMIGA_AC_5),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(HAVE_LOCALE_H),
def(PM3D),
!def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
(!def(AMIGA_SC_6_1)&!def(LITE)),
def(EAM_HISTOGRAMS),
!def(WITH_IMAGE),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(USE_MOUSE),
def(TEST_STRFTIME),
!def(MSDOS),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
!def(LITE),
True,
def(_Windows),
def(TEST_TIME),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
!def(OLDUNSETTICS),
def(GP_STRING_VARS),
