!def(BADRAND),
!def(HAVE_ERFC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_STRFTIME),
True,
(def(VMS)&!def(MSDOS)),
(def(X11)&def(USE_MOUSE)),
def(TEST_TERMDOC),
!def(RELEASE_VERSION),
!def(NO_LOCALE_H),
def(PM3D),
!def(lint),
def(TEST_TIME),
def(BITMAPDEBUG),
!def(LITE),
!def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
def(__ZTC__),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERF),
def(VMS),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(BSD)),
def(BADRAND),
def(_Windows),
!def(MSDOS),
def(NO_LOCALE_H),
def(MSDOS),
def(PIPES),
def(USE_SYSTEM_TIME),
