def(PIPE_IPC),
def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
!def(RELEASE_VERSION),
True,
!def(USE_SYSTEM_TIME),
def(PM3D),
def(TEST_TIME),
!def(LITE),
def(__ZTC__),
def(PIPES),
!def(MSDOS),
def(BADRAND),
def(_Windows),
!def(HAVE_ERF),
def(VMS),
def(NO_LOCALE_H),
(def(VMS)&!def(BSD)),
!def(BITMAPDEBUG),
def(TEST_TERMDOC),
!def(HAVE_ERFC),
(def(X11)&def(USE_MOUSE)),
def(TEST_STRFTIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)),
!def(lint),
!def(BADRAND),
!def(NO_LOCALE_H),
def(RELEASE_VERSION),
def(MSDOS),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
