def(LITE),
!def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
def(TEST_STRFTIME),
def(MSDOS),
def(BITMAPDEBUG),
def(__ZTC__),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
def(NO_LOCALE_H),
def(TEST_TIME),
def(TEST_TERMDOC),
!def(LITE),
!def(HAVE_ERF),
!def(HAVE_ERFC),
def(VMS),
!def(MSDOS),
def(USE_SYSTEM_TIME),
def(PIPES),
!def(lint),
def(BADRAND),
!def(BADRAND),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
