!def(NO_LOCALE_H),
def(SYSTEM_TIME),
!def(MSDOS),
!def(BADRAND),
(def(__TURBOC__)&!def(__ZTC__)&!def(_Windows)),
True,
def(TEST_STRFTIME),
def(NO_LOCALE_H),
!def(SYSTEM_TIME),
!def(HAVE_ERF),
!def(LITE),
def(BADRAND),
def(_Windows),
def(TEST_TIME),
!def(lint),
def(LITE),
def(VMS),
def(unix),
