!def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
def(BADRAND),
!def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BITMAPDEBUG),
def(TEST_TIME),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
(def(VMS)&!def(BSD)),
def(NO_LOCALE_H),
!def(BADRAND),
def(RELEASE_VERSION),
def(MSDOS),
def(PM3D),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(MSDOS),
(def(X11)&def(USE_MOUSE)),
def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
def(__ZTC__),
!def(lint),
def(_Windows),
def(PIPE_IPC),
!def(HAVE_ERFC),
def(PIPES),
def(TEST_STRFTIME),
!def(BITMAPDEBUG),
True,
def(VMS),
(def(VMS)&!def(MSDOS)),
