def(LITE),
!def(lint),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(NO_LOCALE_H),
def(VMS),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
!def(HAVE_ERF),
!def(NO_LOCALE_H),
!def(HAVE_ERFC),
def(TEST_TERMDOC),
!def(LITE),
def(_Windows),
def(MSDOS),
def(BADRAND),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
def(TEST_TIME),
!def(BITMAPDEBUG),
def(USE_SYSTEM_TIME),
def(PIPES),
(def(VMS)&!def(MSDOS)),
True,
!def(BADRAND),
def(TEST_STRFTIME),
def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
