def(__ZTC__),
!def(HAVE_ERF),
def(_Windows),
def(NO_LOCALE_H),
def(RELEASE_VERSION),
def(TEST_TERMDOC),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)),
!def(NO_LOCALE_H),
True,
def(BADRAND),
!def(LITE),
def(PM3D),
def(BITMAPDEBUG),
def(VMS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(MSDOS),
def(USE_MOUSE),
!def(BADRAND),
!def(RELEASE_VERSION),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TIME),
!def(HAVE_ERFC),
def(TEST_STRFTIME),
(!def(MSDOS)&!def(VMS)),
def(PIPES),
(def(VMS)&!def(BSD)),
!def(lint),
def(USE_SYSTEM_TIME),
def(MSDOS),
