def(TEST_STRFTIME),
def(MSDOS),
(def(VMS)&!def(MSDOS)),
def(BADRAND),
def(BITMAPDEBUG),
!def(BADRAND),
(def(VMS)&!def(BSD)),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERF),
!def(LITE),
def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(NO_LOCALE_H),
!def(lint),
!def(USE_SYSTEM_TIME),
!def(HAVE_ERFC),
def(PIPES),
!def(BITMAPDEBUG),
def(TEST_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
!def(NO_LOCALE_H),
!def(MSDOS),
True,
def(_Windows),
def(VMS),
def(USE_SYSTEM_TIME),
