!def(USE_SYSTEM_TIME),
!def(MSDOS),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERFC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_STRFTIME),
def(_Windows),
!def(NO_LOCALE_H),
(def(VMS)&!def(BSD)),
!def(BITMAPDEBUG),
!def(lint),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
!def(HAVE_ERF),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PIPES),
def(VMS),
(def(VMS)&!def(MSDOS)),
def(TEST_TERMDOC),
def(BITMAPDEBUG),
def(BADRAND),
!def(LITE),
def(MSDOS),
def(NO_LOCALE_H),
True,
!def(BADRAND),
def(__ZTC__),
