def(__ZTC__),
def(VMS),
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
True,
!def(GP_ISVAR),
!def(lint),
def(PIPE_IPC),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
def(USE_MOUSE),
!def(MSDOS),
!def(RELEASE_VERSION),
!def(PROTOTYPES),
(def(VMS)&!def(BSD)),
!def(LITE),
!def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
def(PROTOTYPES),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PM3D),
def(PIPES),
def(_Windows),
