def(TEST_TERMDOC),
def(__ZTC__),
def(PIPES),
def(TEST_STRFTIME),
def(RELEASE_VERSION),
!def(MSDOS),
!def(GP_ISVAR),
(def(VMS)&!def(MSDOS)),
!def(lint),
!def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
def(VMS),
def(USE_MOUSE),
!def(PROTOTYPES),
!def(BITMAPDEBUG),
def(PM3D),
def(PROTOTYPES),
def(BITMAPDEBUG),
def(PIPE_IPC),
!def(USE_SYSTEM_TIME),
def(TEST_TIME),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(BSD)),
True,
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
