!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)),
def(PIPES),
def(TEST_TERMDOC),
def(MSDOS),
!def(lint),
def(TEST_STRFTIME),
def(__ZTC__),
(!def(MSDOS)&!def(VMS)),
!def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
True,
!def(PROTOTYPES),
!def(GP_ISVAR),
!def(MSDOS),
def(VMS),
def(PIPE_IPC),
def(USE_SYSTEM_TIME),
def(_Windows),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
def(PM3D),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PROTOTYPES),
