!def(BITMAPDEBUG),
!def(lint),
(!def(MSDOS)&!def(VMS)),
def(RELEASE_VERSION),
def(__ZTC__),
!def(BADRAND),
!def(HAVE_ERFC),
def(_Windows),
def(PIPES),
def(VMS),
!def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
def(BADRAND),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
!def(LITE),
!def(HAVE_ERF),
!def(NO_LOCALE_H),
def(TEST_TIME),
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
!def(MSDOS),
True,
def(BITMAPDEBUG),
def(NO_LOCALE_H),
