!def(LITE),
def(__ZTC__),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_STRFTIME),
!def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BITMAPDEBUG),
!def(NO_LOCALE_H),
True,
def(TEST_TERMDOC),
!def(lint),
def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
def(LITE),
def(_Windows),
def(MSDOS),
!def(BADRAND),
!def(HAVE_ERF),
def(PIPES),
def(VMS),
def(BADRAND),
(def(VMS)&!def(BSD)),
!def(MSDOS),
