!def(BITMAPDEBUG),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
def(PM3D),
!def(HAVE_ERF),
!def(RELEASE_VERSION),
def(__ZTC__),
def(MSDOS),
def(BADRAND),
!def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
def(TEST_TIME),
!def(lint),
!def(BADRAND),
def(TEST_TERMDOC),
def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(MSDOS),
def(USE_MOUSE),
def(TEST_STRFTIME),
!def(LITE),
def(PIPES),
def(_Windows),
def(NO_LOCALE_H),
!def(NO_LOCALE_H),
def(PIPE_IPC),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
True,
def(VMS),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)),
