!def(AMIGA_SC_6_1),
!def(GP_STRING_VARS),
def(EXTENDED_COLOR_SPECS),
def(EAM_DATASTRINGS),
!def(GNUPLOT_HISTORY),
!def(HAVE_LOCALE_H),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(USE_SYSTEM_TIME),
def(PIPES),
def(PM3D),
(!def(MSDOS)&!def(VMS)),
!def(EAM_HISTOGRAMS),
def(WITH_IMAGE),
!def(__PUREC__),
def(MSDOS),
def(AMIGA_AC_5),
True,
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
(!def(AMIGA_SC_6_1)&!def(LITE)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(__PUREC__),
def(GP_STRING_VARS),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_STRFTIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(GPLT_X11_MODE),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(lint),
def(USE_MOUSE),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
def(HAVE_LOCALE_H),
(!def(PIPE_IPC)&def(__ZTC__)),
def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
def(BACKWARDS_COMPATIBLE),
def(PIPE_IPC),
def(EAM_HISTOGRAMS),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
def(OLDUNSETTICS),
(def(VMS)&!def(MSDOS)),
!def(LITE),
(!def(PIPE_IPC)&def(VMS)),
def(BINARY_DATA_FILE),
!def(BINARY_DATA_FILE),
def(EAM_OBJECTS),
def(TEST_TERMDOC),
(def(VMS)&!def(BSD)),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(GNUPLOT_HISTORY),
!def(OLDUNSETTICS),
!def(MSDOS),
def(BITMAPDEBUG),
def(RELEASE_VERSION),
!def(WITH_IMAGE),
def(TEST_TIME),
def(GP_MACROS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
!def(EXTENDED_COLOR_SPECS),
