!def(RELEASE_VERSION),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(PROTOTYPES),
def(TEST_TERMDOC),
def(__ZTC__),
def(MSDOS),
(def(VMS)&!def(MSDOS)),
!def(BADRAND),
!def(HAVE_ERF),
def(PM3D),
!def(BITMAPDEBUG),
!def(LITE),
def(TEST_STRFTIME),
def(BADRAND),
!def(lint),
def(_Windows),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
def(PIPE_IPC),
def(USE_MOUSE),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
def(USE_SYSTEM_TIME),
def(PROTOTYPES),
True,
def(BITMAPDEBUG),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERFC),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
