!def(LITE),
def(BADRAND),
!def(RELEASE_VERSION),
def(PIPE_IPC),
def(MSDOS),
def(VMS),
def(_Windows),
def(PM3D),
def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(BSD)),
!def(lint),
def(TEST_TERMDOC),
def(PROTOTYPES),
def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
!def(HAVE_ERF),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PIPES),
!def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
!def(BADRAND),
def(TEST_TIME),
def(USE_MOUSE),
True,
def(RELEASE_VERSION),
def(__ZTC__),
!def(PROTOTYPES),
!def(HAVE_ERFC),
!def(MSDOS),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
