!def(HAVE_ERF),
!def(HAVE_ERFC),
!def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
def(TEST_TIME),
!def(lint),
def(BADRAND),
def(TEST_TERMDOC),
def(MSDOS),
def(VMS),
!def(LITE),
def(PIPE_IPC),
def(TEST_STRFTIME),
True,
def(__ZTC__),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)),
!def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
!def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
def(PIPES),
def(BITMAPDEBUG),
def(PM3D),
def(_Windows),
def(USE_MOUSE),
!def(BADRAND),
!def(NO_LOCALE_H),
