!def(NO_LOCALE_H),
def(MSDOS),
True,
!def(HAVE_ERF),
def(TEST_TIME),
def(BITMAPDEBUG),
def(_Windows),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
def(LITE),
(def(VMS)&!def(BSD)),
!def(MSDOS),
!def(LITE),
def(BADRAND),
def(PIPES),
!def(HAVE_ERFC),
def(NO_LOCALE_H),
!def(BITMAPDEBUG),
!def(lint),
!def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(VMS),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)),
