!def(BITMAPDEBUG),
!def(NO_LOCALE_H),
!def(HAVE_ERFC),
def(BADRAND),
!def(LITE),
!def(HAVE_ERF),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
def(_Windows),
!def(MSDOS),
def(MSDOS),
def(RELEASE_VERSION),
def(TEST_TIME),
def(PIPES),
def(__ZTC__),
def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
def(VMS),
!def(BADRAND),
!def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
!def(lint),
!def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
True,
